,table_id,accessURL,title,format,last_updated,download_url,dataset_id,slug,frequency
13,50b040ea-569a-4d53-8a2d-83013a6f723f,https://www.data.gouv.fr/datasets/555b4d3dc751df496d190c78/#resource-50b040ea-569a-4d53-8a2d-83013a6f723f,opencnil_budget_depuis_2000_maj_juin_2023,xlsx,2023-06-28 09:35:45.591,https://static.data.gouv.fr/resources/budget-de-la-cnil-1/20230628-093536/opencnil-budget-depuis-2000-maj-juin-2023.xlsx,555b4d3dc751df496d190c78,budget_de_la_cnil_1,annual
14,00037755-4460-421f-be37-00dedbd66994,https://www.data.gouv.fr/datasets/5728c163c751df28b64e291f/#resource-00037755-4460-421f-be37-00dedbd66994,opencnil_autorites_de_protection_vd_20230803,xlsx,2023-08-04 08:39:55.206,https://static.data.gouv.fr/resources/protection-des-donnees-personnelles-dans-le-monde/20230804-083948/opencnil-autorites-de-protection-vd-20230803.xlsx,5728c163c751df28b64e291f,protection_des_donnees_personnelles_dans_le_monde,annual
15,eab9bca1-e38e-4d0e-9a4e-d63c9d12347d,https://www.data.gouv.fr/datasets/555b6af2c751df4bb8190c7a/#resource-eab9bca1-e38e-4d0e-9a4e-d63c9d12347d,opencnil_volumes_dai_edi_depuis_1984_maj_juin_2023,xlsx,2023-06-28 10:02:29.507,https://static.data.gouv.fr/resources/exercice-des-droits-indirect-donnees-generales/20230628-100221/opencnil-volumes-dai-edi-depuis-1984-maj-juin-2023.xlsx,555b6af2c751df4bb8190c7a,exercice_des_droits_indirect_donnees_generales,annual
16,e7c6dca5-0be8-4dc5-961c-375f8ae61297,https://www.data.gouv.fr/datasets/555b5673c751df4821190c78/#resource-e7c6dca5-0be8-4dc5-961c-375f8ae61297,organismes_avec_cil,xlsx,2018-05-24 16:02:01.468,https://static.data.gouv.fr/resources/correspondants-informatique-et-libertes-cil/20180524-160154/OpenCNIL_Organismes_avec_CIL_VD_20180523.xlsx,555b5673c751df4821190c78,correspondants_informatique_et_libertes_cil,monthly
17,4f5250be-bbb6-40a0-a4bf-8a53adee0cc2,https://www.data.gouv.fr/datasets/5c926a7a634f410578005c68/#resource-4f5250be-bbb6-40a0-a4bf-8a53adee0cc2,opencnil_organismes_avec_dpo,xlsx,2023-08-21 09:36:05.180,https://static.data.gouv.fr/resources/organismes-ayant-designe-un-e-delegue-e-a-la-protection-des-donnees-dpd-dpo/20230821-093559/opencnil-organismes-avec-dpo.xlsx,5c926a7a634f410578005c68,organismes_ayant_designe_un_e_delegue_e_a_la_protection_des_donnees_dpd_dpo,monthly
18,162e9b42-5b26-4050-affb-fd0c4a0ded5c,https://www.data.gouv.fr/datasets/561bd5d4c751df5cbacdbb48/#resource-162e9b42-5b26-4050-affb-fd0c4a0ded5c,opencnil_dai_stic_judex_taj_maj_janvier_2019,xlsx,2019-05-13 18:29:54.303,https://static.data.gouv.fr/resources/droit-dacces-indirect-taj-stic-judex/20190513-182942/opencnil-dai-stic-judex-taj-maj-janvier-2019.xlsx,561bd5d4c751df5cbacdbb48,droit_dacces_indirect_taj_stic_judex,annual
19,ff8a9567-f80d-412b-a09a-471e37a8e038,https://www.data.gouv.fr/datasets/555c53c0c751df5d48190c78/#resource-ff8a9567-f80d-412b-a09a-471e37a8e038,opencnil_marches_publics_2014_2020,xlsx,2021-06-02 10:43:06.673,https://static.data.gouv.fr/resources/marches-publics-de-la-cnil/20210602-104255/opencnil-marches-publics-2014-2020.xlsx,555c53c0c751df5d48190c78,marches_publics_de_la_cnil,annual
20,731f781b-2424-4ca2-b53d-c2d2f6f3f783,https://www.data.gouv.fr/datasets/591acfbb88ee387bd5a92ab7/#resource-731f781b-2424-4ca2-b53d-c2d2f6f3f783,open_cnil_volumes_med_depuis_2014_maj_aout_2022,xlsx,2022-08-26 15:18:54.882,https://static.data.gouv.fr/resources/mises-en-demeure-prononcees-par-la-cnil/20220826-151848/open-cnil-volumes-med-depuis-2014-maj-aout-2022.xlsx,591acfbb88ee387bd5a92ab7,mises_en_demeure_prononcees_par_la_cnil,annual
21,3c313b29-f4a1-4ce3-bfbb-c418b7694f0b,https://www.data.gouv.fr/datasets/591af43d88ee3826b379093a/#resource-3c313b29-f4a1-4ce3-bfbb-c418b7694f0b,open_cnil_ventilation_sanctions_depuis_2014_vd,xlsx,2019-05-14 16:54:10.496,https://static.data.gouv.fr/resources/sanctions-prononcees-par-la-cnil/20190514-165405/open-cnil-ventilation-sanctions-depuis-2014-vd.xlsx,591af43d88ee3826b379093a,sanctions_prononcees_par_la_cnil,annual
22,f4388338-2398-4bde-af90-44f6c3992639,https://www.data.gouv.fr/datasets/591af43d88ee3826b379093a/#resource-f4388338-2398-4bde-af90-44f6c3992639,opencnil_sanctions_depuis_2019_maj_aout_2022,xlsx,2022-08-26 15:31:08.409,https://static.data.gouv.fr/resources/sanctions-prononcees-par-la-cnil/20220826-153102/opencnil-sanctions-depuis-2019-maj-aout-2022.xlsx,591af43d88ee3826b379093a,sanctions_prononcees_par_la_cnil,annual
23,b2f8954c-f0a4-4f60-a3eb-be55a0acf382,https://www.data.gouv.fr/datasets/5ef476d329a15f93d8a66bd1/#resource-b2f8954c-f0a4-4f60-a3eb-be55a0acf382,formalites_prealables_recues_par_la_cnil_depuis_le_25_mai_2018,xlsx,2023-04-10 02:21:26.000,https://declarations.cnil.fr/opendata_declaration.xlsx,5ef476d329a15f93d8a66bd1,traitements_de_donnees_personnelles_declares_a_la_cnil_depuis_le_25_mai_2018,weekly
